,time,interest,stockBonus,stockGift,allotNum,allotPrice,gugai,dr,none,front,back
20060519,1147968000000.0,0.024,0.0,0.0,0.0,0.0,0.0,1.02268,1.0899999999999999,0.49119999999999947,1.1139999999999999
20061116,1163606400000.0,0.037,0.0,0.0,0.0,0.0,0.0,1.0275,1.3019999999999998,0.7402,1.3629999999999998
20081119,1227024000000.0,0.06,0.0,0.0,0.0,0.0,0.0,1.0453839999999999,1.4409999999999998,0.9392000000000003,1.5619999999999998
20101116,1289836800000.0,0.026,0.0,0.0,0.0,0.0,0.0,1.010958,2.102,1.6262000000000003,2.2489999999999997
20120516,1337097600000.0,0.011,0.0,0.0,0.0,0.0,0.0,1.008241,1.802,1.3372000000000006,1.96
20121113,1352736000000.0,0.037,0.0,0.0,0.0,0.0,0.0,1.022012,1.6019999999999999,1.1742000000000004,1.7969999999999997
20131115,1384444800000.0,0.053,0.0,0.0,0.0,0.0,0.0,1.033742,1.571,1.1962000000000004,1.8189999999999997
20141117,1416153600000.0,0.0429,0.0,0.0,0.0,0.0,0.0,1.027108,1.763,1.4311000000000003,2.0538999999999996
20161129,1480348800000.0,0.053,0.0,0.0,0.0,0.0,0.0,1.024444,2.403,2.1241000000000003,2.7468999999999997
20171128,1511798400000.0,0.054,0.0,0.0,0.0,0.0,0.0,1.018214,2.909,2.6841,3.3068999999999993
20181203,1543766400000.0,0.049,0.0,0.0,0.0,0.0,0.0,1.018775,2.49,2.3141000000000003,2.9368999999999996
20191202,1575216000000.0,0.047,0.0,0.0,0.0,0.0,0.0,1.014527,2.895,2.7661000000000002,3.3888999999999996
20201130,1606665600000.0,0.0509,0.0,0.0,0.0,0.0,0.0,1.014939,3.516,3.438,4.0607999999999995
20211129,1638115200000.0,0.041,0.0,0.0,0.0,0.0,0.0,1.013496,3.1750000000000003,3.1380000000000003,3.7607999999999997
20221201,1669824000000.0,0.037,0.0,0.0,0.0,0.0,0.0,1.0143469999999999,2.66,2.66,3.2827999999999995
